idaluno,codigoserie_x,anoconclusao_x,iddisciplina,stdependencia,nota_,notafinal,cargahorariaanual,quantidadefaltasanual,resultadofinal_x,idserie_x,cargahorariaanualexibicao,stchignorarsoma_x,idhistoriconotas,novoensinomedio_grupoestruturacurricular,novoensinomedio_areaconhecimento,cargahorariaanualhoraminuto,cargahorariaanualhoraminutoexibicao,stusacargahorariaanualhoraminutotexto,faltashoraminuto,cargahorariaaula,codigoserie_y,anoconclusao_y,resultadofinal_y,idestabelecimentoensino,diasletivos,cargahorariatotal,observacao,idserie_y,cargahorariatotalexibicao,stchignorarsoma_y,frequenciatotal,cargahorariatotalhoraminuto,cargahorariatotalhoraminutoexibicao,stusacargahorariatotalhoraminutotexto,totalfaltastexto,dt_pst
727,n16,2021,17,0,,"",,0.0,A,,,false,2,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
734,n16,2021,17,0,,"",,0.0,A,,,false,13,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
735,n16,2021,17,0,,"",,0.0,A,,,false,11,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
736,n16,2021,17,0,,"",,0.0,A,,,false,4,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
738,n16,2021,17,0,,"",,0.0,A,,,false,9,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
739,n16,2021,17,0,,"",,0.0,A,,,false,16,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
740,n16,2021,17,0,,"",,0.0,A,,,false,7,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
744,n16,2021,17,0,,"",,0.0,A,,,false,14,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
746,n16,2021,17,0,,"",,0.0,A,,,false,15,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
747,n16,2021,17,0,,"",,0.0,A,,,false,8,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
748,n16,2021,17,0,,"",,0.0,A,,,false,3,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
749,n16,2021,17,0,,"",,0.0,A,,,false,5,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
750,n16,2021,17,0,,"",,0.0,A,,,false,12,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
751,n16,2021,17,0,,"",,0.0,A,,,false,30,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
794,n16,2021,17,0,,"",,0.0,A,,,false,6,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
799,n16,2021,17,0,,"",,0.0,A,,,false,37,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
887,n13,2022,5,0,,"6,0",,0.0,A,,,false,55,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
920,n13,2022,5,0,,"6,0",,0.0,A,,,false,51,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1124,n13,2022,5,0,,"6,0",,0.0,A,,,false,49,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1160,n15,2022,5,0,,"6,0",,0.0,A,,,false,54,,,,,false,,,n15,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1166,n13,2022,5,0,,"6,0",,0.0,A,,,false,57,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1167,n13,2022,5,0,,"6,0",,0.0,A,,,false,47,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1171,n13,2022,5,0,,"6,0",,0.0,A,,,false,58,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
1246,n13,2022,5,0,,"6,0",,0.0,A,,,false,52,,,,,false,,,n13,2022,C,2083,,,,,,false,,,,false,,2025-02-09
