nome,instituicao_ensino_aluno,idade_aluno,anos_pm,fase,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,dt_pst
ALUNO-913,,,,3,Não,7.027986444444445,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0,8.083333333333334,7.5,6.488888888888888,7.96875,7.833335,10,2022,2025-01-19
ALUNO-914,,,,2,Não,6.940909599240267,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.746201329534664,7.5,6.583333333333334,6.25,7.500003333333334,5,2022,2025-01-19
ALUNO-915,,,,2,Não,6.598583497194165,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.916679999999999,6.152637485970819,7.5,4.666666666666667,6.041666666666667,6.44444,10,2022,2025-01-19
ALUNO-916,,,,5,Sim,9.354308222222222,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.75001,10,9.375,8.511111111111111,9.0625,9.666675,10,2022,2025-01-19
ALUNO-918,,,,4,Não,7.619179857540927,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.75001,8.54728317659352,7.5,7.111111111111112,8.125,7.75,5,2022,2025-01-19
ALUNO-919,,,,7,Não,4.831948084967321,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,4.027450980392157,6.875,1.477777777777778,7.65625,6.388886666666667,10,2022,2025-01-19
ALUNO-920,,,,5,Não,7.039504634920634,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,6.612103174603176,5.625,7.199999999999999,7.8125,8,5,2022,2025-01-19
ALUNO-921,,,,3,Não,4.929351371017871,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,3.914117132867133,6.25,1.722222222222222,7.1875,6.0416575,2.5,2022,2025-01-19
ALUNO-922,,,,3,Não,7.191666500000001,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,8.458333333333334,5,5.166666666666667,7.5,6.7083275,10,2022,2025-01-19
ALUNO-923,,,,0,Não,7.67873527680312,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.076998050682262,6.875,8.483333333333334,5.625,8.083335,5,2022,2025-01-19
ALUNO-924,,,,1,Não,7.412502222222223,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.777777777777779,7.5,7.25,5.625,7.722223333333334,5,2022,2025-01-19
ALUNO-925,,,,0,Não,7.818554797720798,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.655270655270654,6.25,7.083333333333334,5.625,7.41666,10,2022,2025-01-19
ALUNO-926,,,,3,Não,5.148616912114456,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,6.416701505016722,5.625,3.555555555555556,7.5,6.7083275,5,2022,2025-01-19
ALUNO-927,,,,1,Não,6.65156698989899,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.416679999999999,7.466161616161616,5.625,6.25,6.041666666666667,7.5,5,2022,2025-01-19
ALUNO-930,,,,6,Sim,8.96534820289855,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.641304347826086,9.375,8.466666666666667,9.0625,10.00001,5,2022,2025-01-19
ALUNO-931,,,,1,Não,6.38972597744361,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,6.948621553884712,6.875,3.333333333333333,5.625,8.166665,5,2022,2025-01-19
ALUNO-932,,,,3,Não,5.201146520702537,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0,5.207123159068239,4.375,5.444444444444444,7.5,6.916665,5,2022,2025-01-19
ALUNO-933,,,,5,Não,5.677000466853408,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.255835667600373,7.5,2.066666666666666,5.625,7.041665,5,2022,2025-01-19
ALUNO-934,,,,7,Não,7.665178904761905,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,9.523809523809524,7.5,8,7.1875,7,5,2022,2025-01-19
ALUNO-936,,,,0,Não,6.979899934065935,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,7.170329670329671,7.5,6.25,5.625,7.41666,5,2022,2025-01-19
ALUNO-937,,,,3,Não,6.925909119658121,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,7.32051282051282,5.625,4.777777777777778,7.1875,6.124995,10,2022,2025-01-19
ALUNO-939,,,,4,Não,6.745866585563862,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50001,7.24391126115264,5.625,5.266666666666667,7.8125,8.25,5,2022,2025-01-19
ALUNO-941,,,,3,Não,6.328219530303031,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,5.109848484848484,7.5,5.666666666666667,7.8125,6.7499975,5,2022,2025-01-19
ALUNO-944,,,,3,Não,4.181778881642512,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,2.917572463768116,7.5,0.9444444444444444,6.09375,4.6249975,2.5,2022,2025-01-19
ALUNO-945,,,,4,Sim,8.511529444444445,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.75001,10,8.75,8.422222222222222,8.4375,8.66667,5,2022,2025-01-19
ALUNO-946,,,,3,Não,7.411457833333333,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,8.784722222222221,7.5,7.444444444444445,7.65625,7.2083325,5,2022,2025-01-19
ALUNO-947,,,,1,Não,5.84372876673568,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,5.572808833678399,7.5,4.5,5.625,5.833325,5,2022,2025-01-19
ALUNO-948,,,,4,Não,6.288918699407872,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,5.78487460815047,7.5,4.388888888888889,8.125,7.416665,5,2022,2025-01-19
ALUNO-949,,,,2,Não,7.835649925925926,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,9.62962962962963,7.5,8.5,6.041666666666667,7.777776666666667,5,2022,2025-01-19
ALUNO-952,,,,2,Não,7.972224666666668,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.666666666666666,7.5,5.5,6.666666666666666,8.111113333333336,10,2022,2025-01-19
ALUNO-954,,,,0,Não,7.097068901234568,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.67283950617284,5,7.25,5.625,7.499995,5,2022,2025-01-19
ALUNO-955,,,,1,Não,8.109723333333333,,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10,7.5,7,6.041666666666667,7.277773333333332,10,2022,2025-01-19
ALUNO-957,,,,2,Sim,7.35895350617284,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,9.19753086419753,5.625,6.916666666666666,6.458333333333334,8.388893333333334,5,2022,2025-01-19
ALUNO-958,,,,5,Não,6.68171391025641,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,8.801282051282051,5,5.800000000000001,7.03125,6.7499975,5,2022,2025-01-19
ALUNO-959,,,,1,Não,8.093255968253969,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.841269841269842,7.5,9,6.25,7.5,5,2022,2025-01-19
