,Cross-Validation Score (Mean),Acurácia,f1 score,precision score,recall score
Random Forest,0.9785783026408076,95.82,0.9749670619235836,0.9814323607427056,0.9685863874345549
Support Vector Machine,0.9805552383903958,96.92,0.9814323607427056,0.9946236559139785,0.9685863874345549
Logistic Regression,0.971327363378842,95.82,0.9747003994673769,0.991869918699187,0.9581151832460733
Decision Tree,0.9568276597017198,94.51,0.9673202614379085,0.9660574412532638,0.9685863874345549
K-Nearest Neighbors,0.9719857982503358,93.85,0.9626666666666667,0.9809782608695652,0.9450261780104712
